Codebook Index Counts:
Index 672: 1418
Index 673: 26939
Index 674: 2043
Index 675: 857
Index 676: 158
Index 677: 647
Index 678: 2589
Index 679: 194
Index 680: 7
Index 681: 34
Index 682: 7113
Index 683: 4265
Index 684: 101
Index 685: 108
Index 686: 4481
Index 687: 13018
Index 689: 843
Index 690: 1786
Index 691: 3824
Index 692: 3786
Index 693: 4823
Index 694: 1133
Index 695: 2922
Index 696: 13118
Index 697: 112
Index 698: 23
Index 699: 113
Index 700: 7294
Index 701: 881
Index 702: 56
Index 703: 5532
Index 704: 20917
Index 705: 7274
Index 706: 25104
Index 707: 758
Index 708: 120
Index 709: 2195
Index 710: 1687
Index 711: 14970
Index 712: 160
Index 713: 3580
Index 714: 6936
Index 715: 586
Index 716: 961
Index 717: 75
Index 718: 3959
Index 719: 6126
Index 720: 24339
Index 721: 91
Index 722: 122
Index 723: 2400
Index 724: 1360
Index 725: 40
Index 726: 2994
Index 727: 1
Index 728: 5028
Index 729: 368
Index 730: 1147
Index 732: 390
Index 733: 6486
Index 734: 4218
Index 735: 81
Index 736: 195
Index 737: 99
Index 740: 131
Index 741: 249
Index 742: 4465
Index 743: 515
Index 744: 1026
Index 745: 570
Index 746: 52
Index 747: 193
Index 748: 17543
Index 749: 300
Index 750: 5
Index 751: 9815
Index 752: 907
Index 753: 2
Index 754: 28609
Index 755: 517
Index 756: 1
Index 757: 163
Index 758: 2658
Index 759: 22112
Index 760: 4
Index 761: 748
Index 762: 314
Index 763: 652
Index 764: 1301
Index 765: 24
Index 766: 3028
Index 767: 16513
Index 768: 2
Index 769: 38
Index 770: 364
Index 771: 91
Index 772: 255
Index 773: 16616
Index 774: 476
Index 775: 82
Index 776: 563
Index 777: 767
Index 778: 1792
Index 779: 34
Index 780: 332
Index 782: 320
Index 783: 3
Index 784: 247
Index 785: 18
Index 786: 4032
Index 787: 9087
Index 788: 1023
Index 789: 7
Index 790: 1266
Index 791: 3737
Index 792: 2029
Index 793: 35
Index 794: 336
Index 795: 1080
Index 796: 6668
Index 797: 1903
Index 798: 212
Index 799: 12208
Index 800: 1018
Index 801: 1
Index 803: 2187
Index 804: 1997
Index 805: 289
Index 806: 5146
Index 807: 208
Index 808: 286
Index 809: 2
Index 810: 59
Index 811: 432
Index 812: 2000
Index 813: 2
Index 814: 72
Index 815: 25
Index 816: 686
Index 817: 114
Index 818: 1482
Index 819: 4318
Index 820: 1932
Index 821: 324
Index 822: 17
Index 823: 397
Index 824: 306
Index 825: 7398
Index 826: 694
Index 827: 473
Index 828: 10119
Index 829: 1032
Index 830: 69
Index 831: 18045
Index 832: 17
Index 833: 25
Index 834: 3072
Index 835: 20
Index 836: 9237
Index 837: 49748
Index 838: 49
Index 839: 215
Index 840: 789
Index 841: 486
Index 842: 161
Index 843: 394
Index 844: 4892
Index 845: 346
Index 846: 701
Index 847: 684
Index 848: 224
Index 849: 73
Index 850: 503
Index 851: 1006
Index 852: 395
Index 853: 236
Index 854: 111
Index 855: 2730
Index 856: 10015
Index 857: 35
Index 858: 5149
Index 859: 6754
Index 860: 97
Index 861: 1543
Index 862: 349
Index 863: 7588
Index 864: 570
Index 865: 5182
Index 866: 168
Index 867: 17626
Index 868: 1841
Index 869: 2034
Index 870: 9318
Index 871: 5839
Index 872: 621
Index 874: 1
Index 876: 3
Index 877: 68
Index 878: 182
Index 879: 652
Index 880: 63
Index 881: 2524
Index 882: 1784
Index 883: 2389
Index 884: 13021
Index 885: 9
Index 886: 18
Index 887: 22075
Index 888: 21013
Index 889: 4
Index 890: 40
Index 891: 756
Index 892: 562
Index 893: 12
Index 894: 1
Index 895: 674
Index 896: 106
Index 897: 4969
Index 898: 6649
Index 899: 36
Index 900: 1897
Index 901: 675
Index 902: 191
Index 903: 571
Index 904: 4705
Index 905: 664
Index 906: 24103
Index 907: 417
Index 908: 2816
Index 909: 875
Index 910: 326
Index 911: 2897
Index 912: 2117
Index 913: 4093
Index 914: 17
Index 915: 1350
Index 916: 2337
Index 917: 316
Index 918: 7044
Index 919: 46
Index 920: 1104
Index 921: 218
Index 922: 137
Index 923: 8089
Index 924: 1053
Index 925: 4277
Index 926: 3582
Index 927: 2938
Index 928: 30900
Index 929: 1782
Index 930: 5855
Index 931: 6215
Index 932: 399
Index 933: 1404
Index 934: 22
Index 935: 1267
Index 937: 226
Index 938: 164
Index 939: 6212
Index 940: 839
Index 941: 6
Index 942: 1092
Index 943: 25952
Index 944: 158
Index 945: 572
Index 946: 162
Index 947: 7
Index 948: 27
Index 949: 4806
Index 950: 4127
Index 951: 187
Index 952: 148
Index 953: 697
Index 954: 418
Index 955: 2403
Index 956: 397
Index 957: 16434
Index 958: 12
Index 959: 1177
Index 960: 79
Index 961: 801
Index 962: 1193
Index 963: 4171
Index 964: 18325
Index 965: 35587
Index 966: 37523
Index 967: 8257
Index 968: 4922
Index 969: 238
Index 970: 1346
Index 971: 32
Index 972: 8
Index 973: 323
Index 974: 2186
Index 975: 517
Index 976: 73
Index 977: 663
Index 978: 403
Index 979: 1372
Index 980: 4850
Index 981: 7276
Index 982: 2051
Index 983: 4
Index 984: 11938
Index 985: 92
Index 986: 3134
Index 987: 1162
Index 989: 4318
Index 990: 407
Index 991: 275
Index 992: 930
Index 993: 128
Index 994: 7
Index 995: 11
Index 996: 131
Index 997: 331
Index 998: 236
Index 999: 119
Index 1000: 8677
Index 1001: 2614
Index 1002: 1045
Index 1003: 1375
Index 1004: 6198
Index 1005: 388
Index 1006: 1481
Index 1007: 2
Index 1008: 668
Index 1009: 24196
Index 1010: 20870
Index 1011: 7655
Index 1012: 405
Index 1013: 1724
Index 1014: 554
Index 1015: 1985
Index 1016: 31091
Index 1017: 9040
Index 1019: 44
Index 1020: 8487
Index 1021: 241
Index 1022: 219
Index 1023: 3278
Index 1024: 3862
Index 1025: 10306
Index 1026: 55
Index 1027: 761
Index 1028: 15682
Index 1029: 247
Index 1030: 59
Index 1031: 1152
Index 1032: 90
Index 1033: 1016
Index 1034: 1062
