Codebook Index Counts:
Index 533: 105161
Index 534: 6319
Index 535: 0
Index 536: 0
Index 537: 260
Index 538: 2152
Index 539: 359
Index 540: 12166
Index 541: 12
Index 542: 3519
Index 543: 307
Index 544: 110
Index 545: 1209
Index 546: 290
Index 547: 173
Index 548: 557
Index 549: 8
Index 550: 3390
Index 551: 14174
Index 552: 5
Index 553: 558
Index 554: 781
Index 555: 3020
Index 556: 73
Index 557: 8259
Index 558: 4042
Index 559: 4241
Index 560: 153
Index 561: 735
Index 562: 144
Index 563: 1
Index 564: 2
Index 565: 4373
Index 566: 5144
Index 567: 191
Index 568: 2867
Index 569: 66360
Index 570: 0
Index 571: 160
Index 572: 39
Index 573: 5276
Index 574: 1686
Index 575: 310
Index 576: 211
Index 577: 5719
Index 578: 128
Index 579: 1049
Index 580: 1050
Index 581: 2
Index 582: 4901
Index 583: 1748
Index 584: 167
Index 585: 14446
Index 586: 1632
Index 587: 357
Index 588: 4
Index 589: 221
Index 590: 2793
Index 591: 1679
Index 592: 266
Index 593: 2
Index 594: 4061
Index 595: 888
Index 596: 742
Index 597: 761
Index 598: 182
Index 599: 189
Index 600: 13664
Index 601: 558
Index 602: 16779
Index 603: 771
Index 604: 1093
Index 605: 2294
Index 606: 5909
Index 607: 4242
Index 608: 1309
Index 609: 6653
Index 610: 4480
Index 611: 4457
Index 612: 362
Index 613: 1554
Index 614: 1846
Index 615: 2025
Index 616: 1609
Index 617: 12578
Index 618: 36656
Index 619: 16817
Index 620: 2179
Index 621: 1969
Index 622: 414
Index 623: 775
Index 624: 7973
Index 625: 2960
Index 626: 0
Index 627: 1
Index 628: 3890
Index 629: 1238
Index 630: 75
Index 631: 3174
Index 632: 857
Index 633: 0
Index 634: 2381
Index 635: 268
Index 636: 17149
Index 637: 2274
Index 638: 43
Index 639: 4793
Index 640: 11
Index 641: 109
Index 642: 412
Index 643: 2479
Index 644: 2945
Index 645: 2181
Index 646: 399
Index 647: 854
Index 648: 547
Index 649: 3870
Index 650: 2574
Index 651: 249
Index 652: 94
Index 653: 110
Index 654: 78
Index 655: 2171
Index 656: 106
Index 657: 530
Index 658: 2058
Index 659: 5290
Index 660: 3722
Index 661: 1664
Index 662: 909
Index 663: 13217
Index 664: 6
Index 665: 14948
Index 666: 666
Index 667: 677
Index 668: 4353
Index 669: 18
Index 670: 8
Index 671: 2119
Index 672: 1299
Index 673: 30153
Index 674: 2589
Index 675: 563
Index 676: 177
Index 677: 617
Index 678: 1600
Index 679: 276
Index 680: 11
Index 681: 11
Index 682: 4471
Index 683: 9183
Index 684: 338
Index 685: 298
Index 686: 9728
Index 687: 5746
Index 688: 1
Index 689: 1220
Index 690: 1337
Index 691: 2035
Index 692: 1899
Index 693: 2380
Index 694: 721
Index 695: 2680
Index 696: 5605
Index 697: 154
Index 698: 49
Index 699: 554
Index 700: 3459
Index 701: 879
Index 702: 160
Index 703: 2075
Index 704: 11242
Index 705: 5249
Index 706: 11096
Index 707: 711
Index 708: 157
Index 709: 2271
Index 710: 3680
Index 711: 23681
Index 712: 191
Index 713: 2002
Index 714: 3041
Index 715: 501
Index 716: 820
Index 717: 105
Index 718: 2769
Index 719: 2399
Index 720: 15766
Index 721: 131
Index 722: 249
Index 723: 1890
Index 724: 1769
Index 725: 77
Index 726: 2788
Index 727: 19
Index 728: 3104
Index 729: 675
Index 730: 653
Index 731: 18
Index 732: 436
Index 733: 3343
Index 734: 1896
Index 735: 63
Index 736: 490
Index 737: 254
Index 738: 4
Index 739: 3
Index 740: 249
Index 741: 216
Index 742: 2771
Index 743: 304
Index 744: 732
Index 745: 835
Index 746: 106
Index 747: 92
Index 748: 10936
Index 749: 186
Index 750: 7
Index 751: 8005
Index 752: 1020
Index 753: 77
Index 754: 33241
Index 755: 760
Index 756: 0
Index 757: 67
Index 758: 2056
Index 759: 30034
Index 760: 2
Index 761: 277
Index 762: 335
Index 763: 1608
Index 764: 2167
Index 765: 130
Index 766: 1096
Index 767: 14160
Index 768: 9
Index 769: 67
Index 770: 322
Index 771: 537
Index 772: 868
Index 773: 16111
Index 774: 507
Index 775: 39
Index 776: 981
Index 777: 647
Index 778: 1167
Index 779: 154
Index 780: 745
Index 781: 0
Index 782: 5673
Index 783: 13
Index 784: 206
Index 785: 65
Index 786: 1606
Index 787: 9516
Index 788: 1128
Index 789: 6
Index 790: 1100
Index 791: 3301
Index 792: 1144
Index 793: 74
Index 794: 1417
Index 795: 1003
Index 796: 2524
Index 797: 1597
Index 798: 175
Index 799: 8373
Index 800: 1647
Index 801: 2
Index 802: 0
Index 803: 1760
Index 804: 3667
Index 805: 448
Index 806: 4588
Index 807: 1118
Index 808: 425
Index 809: 5
Index 810: 191
Index 811: 527
Index 812: 3754
Index 813: 9
Index 814: 82
Index 815: 40
Index 816: 3036
Index 817: 348
Index 818: 931
Index 819: 3040
Index 820: 1170
Index 821: 401
Index 822: 8
Index 823: 323
Index 824: 556
Index 825: 7750
Index 826: 1333
Index 827: 521
Index 828: 7502
Index 829: 1120
Index 830: 71
Index 831: 12901
Index 832: 55
Index 833: 28
Index 834: 2900
Index 835: 42
Index 836: 4873
Index 837: 100583
Index 838: 47
Index 839: 367
Index 840: 924
Index 841: 1003
Index 842: 304
Index 843: 467
Index 844: 2956
Index 845: 3649
Index 846: 476
Index 847: 1923
Index 848: 322
Index 849: 175
Index 850: 1073
Index 851: 1078
Index 852: 1118
Index 853: 436
Index 854: 177
Index 855: 2552
Index 856: 5500
Index 857: 66
Index 858: 2974
Index 859: 7204
Index 860: 486
Index 861: 829
Index 862: 684
Index 863: 4055
Index 864: 2655
Index 865: 6432
Index 866: 541
Index 867: 15534
Index 868: 2932
Index 869: 2174
Index 870: 4803
Index 871: 2986
Index 872: 1244
Index 873: 0
Index 874: 0
Index 875: 0
Index 876: 4
Index 877: 170
Index 878: 212
Index 879: 462
Index 880: 151
Index 881: 1207
Index 882: 1452
Index 883: 2342
Index 884: 5570
Index 885: 38
Index 886: 43
Index 887: 7306
Index 888: 5443
Index 889: 68
Index 890: 46
Index 891: 1086
Index 892: 566
Index 893: 41
Index 894: 24
Index 895: 1084
Index 896: 83
Index 897: 2210
Index 898: 4770
Index 899: 62
Index 900: 1304
Index 901: 1081
Index 902: 346
Index 903: 716
Index 904: 2914
Index 905: 742
Index 906: 25148
Index 907: 494
Index 908: 3193
Index 909: 1094
Index 910: 276
Index 911: 1610
Index 912: 1673
Index 913: 4604
Index 914: 53
Index 915: 915
Index 916: 2200
Index 917: 260
Index 918: 4713
Index 919: 54
Index 920: 426
Index 921: 360
Index 922: 123
Index 923: 3139
Index 924: 904
Index 925: 1976
Index 926: 2173
Index 927: 1294
Index 928: 19437
Index 929: 995
Index 930: 2965
Index 931: 4531
Index 932: 243
Index 933: 882
Index 934: 99
Index 935: 1378
Index 936: 0
Index 937: 435
Index 938: 902
Index 939: 2027
Index 940: 754
Index 941: 17
Index 942: 1345
Index 943: 23505
Index 944: 229
Index 945: 490
Index 946: 187
Index 947: 3
Index 948: 75
Index 949: 2656
Index 950: 3141
Index 951: 76
Index 952: 147
Index 953: 866
Index 954: 128
Index 955: 3660
Index 956: 929
Index 957: 21014
Index 958: 15
Index 959: 951
Index 960: 141
Index 961: 857
Index 962: 1125
